artist,title,bpm,genre,year
0126.5 Lil Suzy,Take Me In Your Arms,0,LATIN FREESTYLE,
0126.5 Lil Suzy,Take Me In Your Arms,0,LATIN FREESTYLE,
0127 Joee,I Just Died In Your Arms Tonigh,0,LATIN FREESTYLE,
0127 Joee,I Just Died In Your Arms Tonigh,0,LATIN FREESTYLE,
0127 Sammy C,If You Wanted To Love Me,0,LATIN FREESTYLE,
0127 Sammy C,If You Wanted To Love Me,0,LATIN FREESTYLE,
0128 angelina,always and forever,0,LATIN FREESTYLE,
0128 angelina,always and forever,0,LATIN FREESTYLE,
0128 NV,Some Kind Of Love,0,LATIN FREESTYLE,
0128 NV,Some Kind Of Love,0,LATIN FREESTYLE,
0129 Alexia,My Only Desire,0,LATIN FREESTYLE,
0129 Alexia,My Only Desire,0,LATIN FREESTYLE,
1 a.m. (RiPPed by AlphaBase),I Could Fall In Love,126.89,LATIN FREESTYLE,
10 Speed,Tour de France (Radio Edit),133.43,CLASSIC HOUSE,
112 feat. Beanie Sigel,Dance With Me (XMiX Remix Video),101.64,URBAN,
112 feat. Beanie Sigel,Dance With Me (XMiX Remix Video),101.64,URBAN,
1st Class,My Sweet Rose (club mix),121.75,LATIN FREESTYLE,
2 Chainz,Neighbors Know My Name (Clean),72,HIP HOP,
2 Chainz,Neighbors Know My Name (Dirty),72.09,HIP HOP,
2 Chainz feat. Lil Durk & Sleepy Rose,Lost Kings (Clean),84.91,HIP HOP,
2 Chainz feat. Lil Durk & Sleepy Rose,Lost Kings (Dirty),85.01,HIP HOP,
2 Chainz feat. Moneybagg Yo & Beatking,Pop Music (XMiX Remix Video) (Clean),72.5,HIP HOP,
2 Chainz feat. Moneybagg Yo & Beatking,Pop Music (XMiX Remix Video) (Dirty),72.5,HIP HOP,
2 Chainz feat. Moneybagg Yo & Beatking,Pop Music (XMiX Remix) (Clean),72.5,HIP HOP,
2 Chainz feat. Moneybagg Yo & Beatking,Pop Music (XMiX Remix) (Dirty),72.5,HIP HOP,
2 in a Room,Take me Away,123.12,90S HOUSE MUSIC,
2 In A Room,Wiggle It - Radio Edit - 7A - 123,123,DANCE ELECTRONIC,
2 In A Room,Wiggle It - Radio Edit - 7A - 123,123,DANCE ELECTRONIC,
2 In A Room,Wiggle It (The Club Mix),122.78,90S HOUSE MUSIC,
2 In A Room,Wiggle It (The Club Mix),122.78,90S HOUSE MUSIC,
2 Live Crew,Me So Horny - Wicked Mix,0,HOP HOP,
2 Phat Cunts,Ride - The Space Invaders Mix - 11A/12A - 126,126.23,DANCE ELECTRONIC,
2 Phat Cunts,Ride - The Space Invaders Mix - 11A/12A - 126,126.23,DANCE ELECTRONIC,
2 Young Brothers,Check out the Hook (Original Mix) Chicago Hip House - Old School House,113.2,90S HOUSE MUSIC,
21 East,Who You Lovin Tonight (Esco Intro Edit) Clean,120.04,LATIN FREESTYLE,
21 East,Who You Lovin Tonight (Original Mix),119.98,LATIN FREESTYLE,
21 East,Who You Lovin' Tonight(Acapella),120.6,LATIN FREESTYLE,
21 East,Who you loving tonight,120.04,LATIN FREESTYLE,
21 Savage,Spiral (Clean),88.5,HIP HOP,
21 Savage & Blxst - Peru (Remix) (Clean).mp3,Fireboy DML,,HIP HOP,
21 Savage & Blxst - Peru (Remix) (Dirty).mp3,Fireboy DML,,HIP HOP,
24kGoldn feat. Future,Company (XMiX Remix) (Clean),125,HIP HOP,
2nd Self,Freestyle - 2nd Self-What Was I Thinking O,125.47,LATIN FREESTYLE,
2Pac and Biggie,Living To Die,82.99,HIP HOP 2000'S,
2Pac feat. Dr Dre & Roger Troutman,California Love (Clean) (SB Halftime Promo Pack),92,HIP HOP,
2Pac feat. Dr Dre & Roger Troutman,California Love (Mixshow Edit) (Clean) (SB Halftime Promo Pack),92,HIP HOP,
3 Bad Brothaz,Hotel California 08,132,DANCE ELECTRONIC,
3 Bad Brothaz,Hotel California 08,132,DANCE ELECTRONIC,
38 Special,Hold On Loosely (Clean) (Single),134.41,ROCK,
38 Special,Hold on Loosly,128.24,ROCK,
4 Real,Is It Me [Dub Mix],123.65,LATIN FREESTYLE,
4 Real,What Goes Around Comes Around,125.99,LATIN FREESTYLE,
4 self feat. caesar,last chance,128.24,LATIN FREESTYLE,
4 Strings,Take Me Away (Into The Night) (133 Bpm),132.99,DANCE ELECTRONIC,
4-Self ft. Andrea,So Lonely [Radio Mix],130.26,LATIN FREESTYLE,
42 Dugg feat. Roddy Ricch,4 Da Gang (XMiX Remix) (Clean),100.51,HIP HOP,
4EU3 x DMNDZ,BOSS ANTHEM,70,HIP HOP TRAP,
5 Seconds Of Summer vs. BLR x Rave & Crave,Youngblood vs. Taj (XMiX Mashup Video),128,DANCE ELECTRONIC,
5 Seconds Of Summer vs. BLR x Rave & Crave,Youngblood vs. Taj (XMiX Mashup Video),128,DANCE ELECTRONIC,
50 Cent,In Da Club (Clean) (Extended),90.02,HIP HOP,
50 Cent,Just A Lil Bit (Swartchback Remix) (Dirty),110,HIP HOP,
50 Cent,Just A Lil' Bit (Clean) (Extended),96.9,HIP HOP,
50 Cent Feat the Game,MVP,100.01,HIP HOP 2000'S,
50 Cent feat. Jeremih & Lil Durk,Power Powder Respect (Clean),82,HIP HOP,
50 Cent feat. Jeremih & Lil Durk,Power Powder Respect (Dirty),82,HIP HOP,
50 Cent feat. Ne Yo,Baby By Me,125,DANCE ELECTRONIC,
50 Cent feat. Ne-Yo,Baby By Me (Benja Styles Remix) (Clean),100,HIP HOP,
50 Cent feat. Olivia,Candy Shop (Eduardo Fahl & Sam Collins VIP Edit),124,DANCE ELECTRONIC,
50 Cent feat. Olivia,Candy Shop (Sean.Donn Remix) (Dirty),124.02,DANCE ELECTRONIC,
50 Cent vs Tujamo,Disco Inferno (Shake That Booty Bounce) (97-128 Transition) [VM EDIT],127.94,TRANSITIONS,
50 Cents,Poppin them Thangs,88.01,HIP HOP 2000'S,
504 Boyz,I Can Tell You Wanna Fuck,80.04,80S BALLADS,
6ix9ine feat Anuel AA,BEBE (Intro Outro) Clean,102,REGGAETON,
6ix9ine feat Anuel AA,BEBE (Intro Outro) Clean,102,REGGAETON,
6ix9ine feat Bobby Shmurda,Stoopid (D-Tale x Dyne Remix) Dirty,75,HIP HOP URBAN TRAP,
6ix9ine feat. Nicki Minaj & Murda Beatz,FEFE (XMiX Edit Video),126.17,URBAN,
6ix9ine feat. Nicki Minaj & Murda Beatz,FEFE (XMiX Edit Video),126.17,URBAN,
6ix9ine ft Anuel AA,Bebe (X-Mix) (Clean) (Extended),102.1,REGGAETON,
7TH HEAVEN,DRUMS OF LOVE,122.16,LATIN FREESTYLE,
8 ball,Turn Up the Bump,0,HIP HOP 2000'S,
808 state,cubik (1991),124.01,90S HOUSE MUSIC,
8Ball & MJG,Relax And Take Notes,77.59,DIRTY SOUTH HIP HOP,
8Er$ & Ronaissance,Let Yourself Go,72.5,HIP HOP TRAP,
8oh8,Knockin,70,HIP HOP TRAP,
8th Angel,13) 8th Angel - Guilty Of The Crime Guilty Miami Mix,124.04,LATIN FREESTYLE,
8th Angel,Guilty of the Crime,123.98,LATIN FREESTYLE,
8th Angel,Guilty Of The Crime [E - Testi,0,LATIN FREESTYLE,
99 red ballons,Nena,97.15,EIGHTIES,
a,ha - Take On Me,84.49,EIGHTIES,
a,ha - Take On Me (Karaoke Version),84.66,KARAOKE,
A Boogie Wit Da Hoodie,Look Back At It (XMiX Remix Video),96,URBAN,
A Boogie Wit Da Hoodie,Look Back At It (XMiX Remix Video),96,URBAN,
A Boogie Wit da Hoodie,Non Judgmental (Clean),95,HIP HOP,
A Boogie Wit da Hoodie,Non Judgmental (Dirty),95,HIP HOP,
A Flock Of Seagulls,I Ran (So Far Away) (Digital Visions Remix) (Clean) (Extended),73.07,EIGHTIES,
A Tribe Called Quest,Award Tour,97.24,HIP HOP 90'S,
A Tribe Called Quest,Electric Relaxation,98.06,HIP HOP 90'S,
A Tribe Called Quest,Scenario,101.52,HIP HOP 90'S,
A-BO,Whiplash (Extended Mix),122,DANCE ELECTRONIC,
a-ha,Take On Me (Dj Viciouz Remix),84.27,EIGHTIES,
A-ha,Take On Me (SE) (Dollar Edit),84.25,EIGHTIES,
A-S-Y-S & Kai Tracid,Rave The Planet (Clean) (Single) (1080),133,DANCE ELECTRONIC,
A-S-Y-S & Kai Tracid,Rave The Planet (Clean) (Single) (HD),133,DANCE ELECTRONIC,
A-Trak & Milo & Otis,Out the Speakers (QH) (Phase Edit),104,HIP HOP TRAP TWERK,
A.B. III - Dime Por QuÔö£┬«.mp3,Kumbia Kings,,CUMBIA,
A7S,Jumpstart (Clean) (Extended) (HD),115.11,DANCE ELECTRONIC,
A7S & S1MBA,On & On (Lyric Video) (Clean) (Extended),126,DANCE ELECTRONIC,
Aaliyah,One In A Million (Adam Foster Dialect Rmx) (SE) (Kutt Edit),125,DANCE ELECTRONIC,
Aaliyah ft Timbaland,Are You That Somebody (Know Good Remix) (Clean) (Extended) (1080),126,POP,
Aaliyah ft Timbaland,Are You That Somebody (Know Good Remix) (Clean) (Extended) (HD),126,DANCE ELECTRONIC,
Aazar,Jigglin (DIRTY) (QH) (Marty Mar Edit),100,HIP HOP TRAP TWERK,
Aazar feat Swae Lee x Tove Lo,Diva (Intro Outro) Clean,100,REGGAETON,
Aazar feat Swae Lee x Tove Lo,Diva (Intro Outro) Clean,100,REGGAETON,
AB THE THIEF,Get Smoked (Zeeroks Remix),80,HIP HOP TRAP,
Abba,Dancing Queen (Extended Version),100.51,KARAOKE,
Abba,Dancing Queen (Karaoke Version) with Lyrics HD Vocal-Star Karaoke,100.72,KARAOKE,
Abba,Dancing Queen with lead vocals (Karaoke Version) with Lyrics HD Vocal-Star Karaoke,100.79,KARAOKE,
Abba,S.O.S. (Nu Disco Remix) (Lyric Video) (Clean) (Extended) (HD),124,DISCO,
Abby Lynn,No More Tears [Puccapella],117.9,LATIN FREESTYLE,
ABBY LYNN,NO MORE TEARS 118 BPM,117.72,LATIN FREESTYLE,
Abigail Bailey Sgt Slick and Pitch Dark,automatic machine (vandalism),128,DANCE ELECTRONIC,
Abrina feat. Rini,Pleasure (Clean),90,HIP HOP,
AC DC,Back In Black (Redrum) (Clean) (Extended),94.98,ROCK,
AC DC,Dirty Deeds Done Dirt Cheap (Clean) (Single),135.2,ROCK,
AC DC,Highway To Hell (Clean) (Extended),117.23,ROCK,
AC DC,Highway To Hell (Redrum) (Clean) (Extended),117,ROCK,
AC DC,Thunderstruck (Redrum) (Clean) (Extended),134,ROCK,
AC DC,You Shook Me All Night Long (Clean) (Extended),128.14,ROCK,
AC Slater & Bleu Claire,Green Light (Flava D Remix),131,DANCE ELECTRONIC,
acapellas,Track 08,123.85,LATIN FREESTYLE,
acapellas,Tribe - So In Love (Acapella),126.92,LATIN FREESTYLE,
ACDC,TNT (Clean) (Extended),125.63,ROCK,
Ace Frehley,Ace Frehley - unknown title,121.89,ROCK,
Ace Frehley,New York Groove (Xtendamix Lyric Video) (Clean) (Single),95.02,ROCK,
Ace Of Base,Beautiful Life (Lincoln Baio & NAWMS Remix) (Clean) (Extended),125,DANCE ELECTRONIC,
Ach Era,Blue Daw (Original Mix),129,HOUSE ELECTRO,
Achilles,Keep On Dreaming (Radio Edit),126,DANCE ELECTRONIC,
Acraze ft Goodboys,Believe (Galantis Remix) (Clean) (Extended) (HD),124,DANCE ELECTRONIC,
Acraze Vs Moguai,Do It To It Vs ACIIID (DJs From Mars Remix) (Clean) (Extended) (1080),126.12,ELECTRO HOUSE,
Acraze Vs Moguai,Do It To It Vs ACIIID (DJs From Mars Remix) (Clean) (Extended) (HD),126.12,DANCE ELECTRONIC,
Acti,Peralux (Original Mix),130,HOUSE ELECTRO,
Adam Griffin & James Hurr feat. Aya Anne - You On Red (Extended Mix).mp3,Simon Field,,DANCE ELECTRONIC,
Adam Griffin & James Hurr feat. Aya Anne - You On Red (Radio Edit).mp3,Simon Field,,DANCE ELECTRONIC,
Adam K,Come To Me - Original Mix,128,DANCE ELECTRONIC,
Adam K,Dataworx,,DANCE ELECTRONIC,
Adam K & Shawn Austin,40,,DANCE ELECTRONIC,
Adam K & Shawn Austin,40,,DANCE ELECTRONIC,
Adele,Easy On Me (Alessio Viotti Bootleg Mix),126,DANCE ELECTRONIC,
Adele,Hello (Official Lyrics Video),78.92,HIP HOP TOP 40,
Adje & Alex Sargo - Chocolate (Extended Mix).mp3,Robin Roxette,,HIP HOP,
Adonis,No Way Back,125.31,CLASSIC HOUSE,
Adonis,We're Rocking Down The House (Instrumental),116.22,CLASSIC HOUSE,
Adonis,We're Rocking Down The House non-acid,122.38,CLASSIC HOUSE,
Adventure Club & Prince Fox feat. Justin Jesso,Come Clean (Radio Edit),67,DANCE ELECTRONIC,
AEIOU & Sometimes Y.mp3,,,LATIN FREESTYLE,
Aero Chord x GAWTBASS,Secret (Original Mix) [FREE DOWNLOAD],70,HIP HOP TRAP,
Aeronautics,It's A Fine Day - Zerosix Club Mix - 11A - 128,127.99,DANCE ELECTRONIC,
Aeronautics,It's A Fine Day - Zerosix Club Mix - 11A - 128,127.99,DANCE ELECTRONIC,
Aerosmith,Crazy (Clean) (Single),80.84,ROCK,
Aerosmith,Cryin',105.65,ROCK,
Aerosmith,Dream On (Clean) (Single),77.74,ROCK,
Aerosmith,Dude (Looks Like A Lady) (Clean) (Single),126.25,ROCK,
Aerosmith,Dude (Looks Like A Lady) (Redrum) (Clean) (Extended),127,ROCK,
Aerosmith,Girls Of Summer (Bob Clearmountain Mix) (Clean) (Single),120.01,ROCK,
Aerosmith,I Don't Want To Miss A Thing (Clean) (Single),61,ROCK,
Aerosmith,Janie's Got A Gun (Clean) (Single),115.53,ROCK,
